slug,title,poster_filename,logline,genres,countries,year,runtime,trailer_url,territories,where_to_watch,rating,subtitles_available,localized_versions,licence_expiry,poster_link_pcloud,release_date,amazon_url,tubi_url
love-evolving,Love Evolving,poster.png,"An anxious woman navigates the bustle of modern day Cairo to find her missing lover, a young adult strives for an authentic connection in a future society numbed by alcohol, and two Cold War-era lovers face the consequences of finding romance across political borders. A vibrant collection of short films - by turns gritty and dreamlike - exploring the changes and complexities of a Love Evolving.",LGBTQ+; Drama; Arthouse; Science Fiction; Fantasy,"Estonia, Israel, Uruguay, Portugal, Belgium",2023,109 min,https://www.youtube.com/watch?v=YEdOzZs8hts,Worldwide,Amazon Prime,R,"English, German",German,2027-01-12,https://e.pcloud.link/publink/show?code=XZ0SPGZDDSa2Ld1UP0X3aex3CWY30wGjTjk,,,
enchanted-hearts,Enchanted Hearts,poster.png,"Two high schoolers experiment with the means and ways of traditional witchcraft, a bride with a secret has second thoughts on her wedding day, and a loving couple quietly prepares their family for the cataclysmic event to come. Six spellbinding stories about private passions, stolen moments and the bonds we form when the world isn't looking.",LGBTQ+; Drama; Coming of Age,"Greece, Brazil, United States, Philippines, New Zealand, Finland",2023,93 min,https://www.youtube.com/watch?v=Sl93lzJheic,Worldwide,Amazon Prime,R,English,German,2027-04-08,https://e.pcloud.link/publink/show?code=XZMSPGZt3NT1YsMdlXk07XaRWpYK0tAzSey,,,
these-untold-secrets,These Untold Secrets,poster.png,"A mother-son reunion awakens old feelings of loss and remorse, a gay man and a lesbian woman navigate a marriage of convenience in the city of Paris, and an old college buddy crashes on the couch of a young author, oblivious to the emotions he stirs up in his friend. All is not as it seems in this impactful collection of shorts exploring private passions and hidden pasts.",LGBTQ+; Drama; Romance,"United States, France, United Kingdom",2023,99 min,https://www.youtube.com/watch?v=ay3GUFi-hrU,Worldwide,Amazon Prime,NC-17,"English, English HOH, German",German,2027-03-02,https://e.pcloud.link/publink/show?code=XZyjPGZjbwO9LP6LOpHJvXJHv6O1RwRXYnX,,,
frisky-business,Frisky Business,poster.png,"An anxious young drag queen searches for a way out before a revealing news story hits the airwaves, two silent strangers wander out into the night in a city under curfew, and a lively summer camp seeks to rid the youths of America of their sinful heterosexual desires. A defiant collection of shorts exploring passion, persecution and revolt from eras past, present and future.",LGBTQ+; Drama,"Netherlands, United Kingdom, Chile, United States, Taiwan",2023,92 min,https://www.youtube.com/watch?v=_UwtPGfW4cM,Worldwide,Amazon Prime,R,"English, English HOH, German",German,2027-03-03,https://e.pcloud.link/publink/show?code=XZczvGZVt9am5wcR8079lrdBKjb0HgOze97,,,
to-speak-her-mind,To Speak Her Mind,poster.png,"A teenage animal rights supporter harbors feelings for her fellow activist, an aspiring artist hones her craft on the subway routes of Rio de Janeiro, and two young women contemplate a pivotal decision on the shores of 19th century Britain. An anthology of female-focused stories about finding your voice, living your truth and learning to persist in the face of hardship.",LGBTQ+; Drama,"United Kingdom, Israel, Germany, Brazil",2023,90 min,https://www.youtube.com/watch?v=i6omCFtKdjM,Worldwide,Amazon Prime,NC-17,"English, English HOH, German",German,30/05/2027,https://e.pcloud.link/publink/show?code=XZnLvGZLSr53uFWTVjS9744H3RdrmNcQUsy,,,
remembering-his-touch,Remembering His Touch,poster.png,"A grieving lover searches for answers beyond the beaches of New York, two betrayed strangers find comfort in their shared pain, and a teenage friendship stirs up hidden feelings, pushing the boundaries of their relationship. Discover 5 stories that question the fate of lost love and the longing for answers. When you fight to hold on to the past, is it ever truly worth it?",LGBTQ+; Drama,"United States, Singapore, Denmark",2023,66 min,https://www.youtube.com/watch?v=BpMsOedFBBo,Worldwide,Amazon Prime,PG-13,"English HOH, German",German,2027-06-20,https://e.pcloud.link/publink/show?code=XZhRcGZLifuUX5AlTHwOs7XMflq1JSkTuHX,,,
no-strings-attached,No Strings Attached,poster.png,"A popular TV star finds himself the subject of a local media scandal, a teenage boy has a moment of self-discovery on the rooftop of his high school, and a series of strangers disclose their most intimate secrets under the comfort of anonymity. Fleeting connections and hidden desires abound in this poignant collection of stories about the drama and passion that erupts behind closed doors.",LGBTQ+; Romance; Drama,"Ireland, Taiwan, Poland, Canada",2023,100 min,https://www.youtube.com/watch?v=-gSErgMJYjk,Worldwide,Amazon Prime,NC-17,"English HOH, German",German,28/07/2027,https://www.dropbox.com/scl/fi/546t3xyim2opz0olf25x7/NSA_poster2_1200x1600-Nathasha-Orlando-Kappler-Logo-Moved.png?rlkey=hnier2e9qa4nav3jor0wwfqax&st=s6tx5x7w&dl=0,,,
her-dark-reflection,Her Dark Reflection,poster.png,"A grieving lover embarks on a dark journey through memory, a lonely cleaner develops an unhealthy fixation on her boss, and a young couple find themselves caught between a dangerous demonic entity and a fanatically religious mother. See your fears and desires reflected in this female-focused collection of strange and twisted tales.",LGBTQ+; Thriller; Drama; Horror,"United States, Canada, Greece, Australia",2023,83 min,https://www.youtube.com/watch?v=C6-cnMxFTLs,Worldwide,Amazon Prime,NC-17,"English, English HOH, German",German,2027-01-10,https://e.pcloud.link/publink/show?code=XZaRcGZdsUx40EwzdFQbTaaeKoXsHQW4g2y,,,
twin-flame,Twin Flame,poster.png,"A divisive painting brings out a couple’s conflicting opinions on romance, a pair of living dolls begin to think outside the box, and an unexpected reunion leads to a night of casual flirtation and quiet revelations. A stylish collection of female-focused stories of love and friendship, showing how two dazzling souls can burn brighter as one.",LGBTQ+; Drama,"Spain, France",2023,78 min,https://www.youtube.com/watch?v=ivUotSnUp1M,All countries except those mentioned in Geo-Restrictions,Amazon Prime,R,"English, German",German,2026-01-10,https://e.pcloud.link/publink/show?code=XZpLcGZh6eY2Fk0xeS0BsoDq8BAv4qVa5C7,,,
her-side-of-the-bed,Her Side of the Bed,poster.png,An intimate collection of female-focused stories about the drama that unfolds when a relationship reaches its turning point. Sometimes love fades and sometimes it stays in these five poignant tales.,LGBTQ+; Drama,"South Korea, Sri Lanka, Brazil, United Kingdom",2025,74 min,https://www.youtube.com/watch?v=lrfZzl7y7u4,All countries except those mentioned in Geo-Restrictions,05/09/2025 (Fawesome),PG-13,English,None,2028-09-05,https://www.dropbox.com/scl/fi/50s3ufbr9x2r4lr7qnyss/Her_Side_of_the_Bed_poster_1200X1800.psd?rlkey=8u844s6d8adr9ja52uq5e2jnp&st=915eh2ca&dl=0,,,
tender-resistance,Tender Resistance,poster.png,"An anxious brother delays telling his sister the truth about his upcoming wedding, an uncle takes drastic measures to ""make a man"" out of his closeted nephew, and a young man reflects on his turbulent teen years and the experiences that pushed him to leave his hometown behind. A powerful collection of shorts about the quiet ways in which we learn to stand up to prejudice and doubt.",LGBTQ+; Drama,"Brazil, USA, UK, South Korea, Spain",2025,77 min,https://www.youtube.com/watch?v=rQPB4ClxQMQ,Worldwide,Amazon Prime,R,"English, French, German, Spanish","German, French, Spanish",2029-07-14,https://e.pcloud.link/publink/show?code=XZ6LcGZQEuiXwHdO3kXB8qDpvDyeyhpow8V,,,
girls-will-be,Girls Will Be,poster.png,"A whimsical high schooler harbors complicated feelings for her new religious teacher, a headstrong teen pursues her love of football despite her father’s objections, and a father takes one last trip with his daughter before she begins her new life as a student. A collection of stories about girls learning to make their own choices as they embrace the messiness of growing up.",Drama; Coming of Age,"France, Spain",2025,104 min,https://www.youtube.com/watch?v=i2jD_MLKY3o,All countries except those mentioned in Geo-Restrictions,Amazon Prime,PG-13,English,German,28/08/2028,https://www.dropbox.com/scl/fi/elb57ii71j264airs9h4o/GIRLS_WILL_BE_poster_1200x1600-No-Logo.png?rlkey=e7yo8h1tdj4kki9op20lzkx5i&st=iwa0n4a1&dl=0,,,
beyond-our-end,Beyond Our End,poster.png,"Two lovers in the midst of a breakup discuss which memories to keep and which to erase, a young couple finds their relationship tested when a national crisis forces them indoors together, and a Japanese citizen grapples with the demands of the immigration office so that she may stay with her wife in France. Delve into a broken future with 5 bittersweet tales of lost connections and new beginnings.",Science Fiction; Drama; LGBTQ+,"Israel, Canada, France, USA",2025,98 min,https://www.youtube.com/watch?v=qLOo0nUOGnU,All countries except those mentioned in Geo-Restrictions,Amazon Prime,R,"English, English HOH",English only,23/12/2028,https://e.pcloud.link/publink/show?code=XZS4cGZl9UT0HtIxXhitB0GD8K72h0HBFPk,,,
split-decision,Split Decision,poster.png,"A psychologist's longing for family puts a strain on his current relationship, a priest wrestles with his own desires after catching his peers in a moment of intimacy, and a husband has a heated exchange with his wife, while his new partner waits quietly in the bedroom. A tender collection of stories of men torn between two worlds, as the feelings they once buried come rushing back to the surface.",Drama; LGBTQ+,"Belgium, France, Switzerland, Estonia, Portugal, UK, Israel, Uruguay, Canada",2025,85 min,https://www.youtube.com/watch?v=XQM_mdjd598,Worldwide,Amazon Prime,R,English,"German, French, Spanish",26/06/2029,https://www.dropbox.com/scl/fi/swdhv19iq7c1zp0spc0j3/POSTER-2.3.png?rlkey=tkdssecj13cift3wo9zz9q7hb&st=uieyi299&dl=0,,,
stolen-moments,Stolen Moments,poster.jpg,"A husband and father is haunted by the consequences of a one-night stand, a young man returns to his home town to reflect on the tragic events that he left to escape, and a student's holiday in Corsica proves an opportunity for friendship, reflection and self-discovery. An intimate collection of stories of fleeting encounters, private worlds and enduring memories both cherished and traumatic.",Drama; LGBTQ+,"Italy, France, Ireland, USA, UK",2025,87 min,https://www.youtube.com/watch?v=KZDuQySoeXQ,Worldwide,Amazon Prime,R,"English, English HOH",German,2029-09-16,https://e.pcloud.link/publink/show?code=XZG57vZofM7uS6KfHzEiVwqsUHIU5HMsXbk,,,
before-the-dawn-breaks,Before the Dawn Breaks,poster.png,"A lonely mermaid tests the limits of her sea-bound nature, a troubled teen searches for a way out before her first day at a juvenile educational facility, and a rebellious secondary schooler struggles to keep control of her chaotic home life. A poignant collection of female-focused shorts about growing up, letting go and learning to accept what the new day might bring.",Drama; Coming of Age,"France, Norway",2023,95 min,https://www.youtube.com/watch?v=rV2qpKeXP8Y,All countries except those mentioned in Geo-Restrictions,Amazon Prime,R,English,English only,2026-10-11,https://e.pcloud.link/publink/show?code=XZYNyvZLgaIcFx4DTLESWTCIHzee0ag0dlk,,,
love-evolving,Love Evolving,poster.png,"An anxious woman navigates the bustle of modern day Cairo to find her missing lover, a young adult strives for an authentic connection in a future society numbed by alcohol, and two Cold War-era lovers face the consequences of finding romance across political borders. A vibrant collection of short films - by turns gritty and dreamlike - exploring the changes and complexities of a Love Evolving.",LGBTQ+; Drama; Arthouse; Science Fiction; Fantasy,"Estonia, Israel, Uruguay, Portugal, Belgium",2023,109 min,https://www.youtube.com/watch?v=YEdOzZs8hts,Worldwide,Amazon Prime,R,English,German,2028-01-28,https://e.pcloud.link/publink/show?code=XZ0SPGZDDSa2Ld1UP0X3aex3CWY30wGjTjk,,,
no-place-to-hide,No Place to Hide,poster.png,"A devoted partner seeks dignity for his late transgender love, a fugitive in Paris attempts to outrun his past, and another searches for clarity as he navigates identity and desire. From unexpected rooftop encounters to a celestial game of chess, this compelling collection of shorts explores truth, acceptance and the moment we realise there is truly No Place to Hide.",LGBTQ+; Drama,"France, United Kingdom",2025,107 min,https://www.youtube.com/watch?v=Hb4UsVW0uIU,All countries except those mentioned in Geo-Restrictions,Amazon Prime,R,English,French,2030-03-09,https://e.pcloud.link/publink/show?code=XZe4cGZGwkvKTgTpI5CSGn0cfTREYLHkFUk,,,
where-we-begin,Where We Begin,poster.png,"An old photo sparks the memory of a romance now past, a fairy tale book proves the key to understanding a classmate's inner world, and a brief exchange of gazes hints at something deeper between two teens prepping for a night out. A dazzling collection of female-focused stories about the fleeting moments of youth that linger on as bittersweet recollections.",LGBTQ+; Coming of Age,"Korea, Spain, China, United States",2025,68 min,https://www.youtube.com/watch?v=oRVRvQL8CQ4,All countries except those mentioned in Geo-Restrictions,Amazon Prime,U/PG,"English, German",German,2028-08-04,https://drive.google.com/file/d/1o1J-q1AxcF3YZn-gZu5sBnacpWCmJp9X/view?usp=sharing,,,
